finger,servo1_deg,servo2_deg,abduction_deg,flexion_deg,distal_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_travel_mm
4,-85.0,45.0,-5.3803,-49.4689,-49.952,100.081,59.085,-4.03,96.635
1,-85.0,50.0,-4.3023,-51.7653,-52.4164,-49.665,18.284,179.585,100.375
2,-85.0,50.0,-4.3023,-51.7657,-52.4169,-49.666,-22.571,172.465,100.376
3,-85.0,50.0,-4.3024,-51.7658,-52.417,-49.666,-64.609,158.937,100.376
4,-85.0,50.0,-4.3022,-51.7659,-52.4171,98.669,56.808,-8.467,100.376
1,-85.0,55.0,-3.3355,-53.944,-54.7941,-53.739,19.721,177.28,103.857
2,-85.0,55.0,-3.3356,-53.9445,-54.7946,-53.74,-20.901,170.323,103.857
3,-85.0,55.0,-3.3356,-53.9446,-54.7947,-53.74,-62.674,157.031,103.858
4,-85.0,55.0,-3.3354,-53.9447,-54.7949,96.994,54.669,-12.541,103.858
1,-85.0,60.0,-2.4892,-55.9578,-57.0335,-57.373,20.927,174.891,107.007
2,-85.0,60.0,-2.4893,-55.9582,-57.0341,-57.374,-19.451,168.073,107.008
3,-85.0,60.0,-2.4893,-55.9584,-57.0342,-57.374,-60.943,154.989,107.008
4,-85.0,60.0,-2.4891,-55.9585,-57.0344,95.161,52.718,-16.175,107.009
1,-85.0,65.0,-1.7722,-57.7531,-59.0713,-60.496,21.901,172.557,109.757
2,-85.0,65.0,-1.7722,-57.7536,-59.0718,-60.497,-18.239,165.853,109.758
3,-85.0,65.0,-1.7722,-57.7537,-59.072,-60.497,-59.451,152.947,109.758
4,-85.0,65.0,-1.7721,-57.7539,-59.0723,93.301,51.005,-19.298,109.758
1,-85.0,70.0,-1.1926,-59.272,-60.8315,-63.044,22.649,170.435,112.035
2,-85.0,70.0,-1.1926,-59.2724,-60.8321,-63.046,-17.273,163.821,112.036
3,-85.0,70.0,-1.1927,-59.2726,-60.8323,-63.046,-58.228,151.058,112.036
4,-85.0,70.0,-1.1925,-59.2728,-60.8326,91.563,49.576,-21.847,112.037
1,-85.0,75.0,-0.758,-60.4553,-62.2298,-64.967,23.183,168.69,113.779
2,-85.0,75.0,-0.7581,-60.4558,-62.2304,-64.968,-16.56,162.141,113.78
3,-85.0,75.0,-0.7581,-60.456,-62.2306,-64.968,-57.302,149.485,113.78
4,-85.0,75.0,-0.7579,-60.4561,-62.2309,90.105,48.477,-23.769,113.78
1,-85.0,80.0,-0.475,-61.2484,-63.182,-66.223,23.517,167.475,114.931
2,-85.0,80.0,-0.475,-61.2488,-63.1826,-66.224,-16.101,160.968,114.932
